FL,APP,AA,LA,SC,LC,HON,SMS,EXP,DRV,AMB,GSP,POT,KJ,SUIT
6,7,2,5,8,7,8,8,3,8,9,7,5,7,10
9,10,5,8,10,9,9,10,5,9,9,8,8,8,10
7,8,3,6,9,8,9,7,4,9,9,8,6,8,10
5,6,8,5,6,5,9,2,8,4,5,8,7,6,5
6,8,8,8,4,4,9,5,8,5,5,8,8,7,7
7,7,7,6,8,7,10,5,9,6,5,8,6,6,6
9,9,8,8,8,8,8,8,10,8,10,8,9,8,10
9,9,9,8,9,9,8,8,10,9,10,9,9,9,10
9,9,7,8,8,8,8,5,9,8,9,8,8,8,10
4,7,10,2,10,10,7,10,3,10,10,10,9,3,10
4,7,10,0,10,8,3,9,5,9,10,8,10,2,5
4,7,10,4,10,10,7,8,2,8,8,10,10,3,7
6,9,8,10,5,4,9,4,4,4,5,4,7,6,8
8,9,8,9,6,3,8,2,5,2,6,6,7,5,6
4,8,8,7,5,4,10,2,7,5,3,6,6,4,6
6,9,6,7,8,9,8,9,8,8,7,6,8,6,10
8,7,7,7,9,5,8,6,6,7,8,6,6,7,8
6,8,8,4,8,8,6,4,3,3,6,7,2,6,4
6,7,8,4,7,8,5,4,4,2,6,8,3,5,4
4,8,7,8,8,9,10,5,2,6,7,9,8,8,9
3,8,6,8,8,8,10,5,3,6,7,8,8,5,8
9,8,7,8,9,10,10,10,3,10,8,10,8,10,8
7,10,7,9,9,9,10,10,3,9,9,10,9,10,8
9,8,7,10,8,10,10,10,2,9,7,9,9,10,8
6,9,7,7,4,5,9,3,2,4,4,4,4,5,4
7,8,7,8,5,4,8,2,3,4,5,6,5,5,6
2,10,7,9,8,9,10,5,3,5,6,7,6,4,5
6,3,5,3,5,3,5,0,0,3,3,0,0,5,0
4,3,4,3,3,0,0,0,0,4,4,0,0,5,0
4,6,5,6,9,4,10,3,1,3,3,2,2,7,3
5,5,4,7,8,4,10,3,2,5,5,3,4,8,3
3,3,5,7,7,9,10,3,2,5,3,7,5,5,2
2,3,5,7,7,9,10,3,2,2,3,6,4,5,2
3,4,6,4,3,3,8,1,1,3,3,3,2,5,2
6,7,4,3,3,0,9,0,1,0,2,3,1,5,3
9,8,5,5,6,6,8,2,2,2,4,5,6,6,3
4,9,6,4,10,8,8,9,1,3,9,7,5,3,2
4,9,6,6,9,9,7,9,1,2,10,8,5,5,2
10,6,9,10,9,10,10,10,10,10,8,10,10,10,10
10,6,9,10,9,10,10,10,10,10,10,10,10,10,10
10,7,8,0,2,1,2,0,10,2,0,3,0,0,10
10,3,8,0,1,1,0,0,10,0,0,0,0,0,10
3,4,9,8,2,4,5,3,6,2,1,3,3,3,8
7,7,7,6,9,8,8,6,8,8,10,8,8,6,5
9,6,10,9,7,7,10,2,1,5,5,7,8,4,5
9,8,10,10,7,9,10,3,1,5,7,9,9,4,4
0,7,10,3,5,0,10,0,0,2,2,0,0,0,0
0,6,10,1,5,0,10,0,0,2,2,0,0,0,0
