      length   luminous 
 31 12.785730  4.4371412
 32  6.533526  4.7801769
 33 15.458891  5.3260497
 34 13.754025  5.4161284
 35 13.135536  5.8870233
 36  7.022168  6.0087309
 37  6.330116  6.2226553
 38 10.976684  6.2551633
 39 10.962018  6.3204149
 40 11.699394  6.3658267
 41 12.359251  6.4089410
 42 11.675055  6.4216868
 43 14.770079  6.4283282
 44  9.847946  6.4489605
 45  9.265539  6.5890404
 46 16.385352  6.6007064
 47 11.826342  6.6193929
 48  4.159166  6.6482397
 49 11.815707  6.6782402
 50  8.972922  6.7713532
 51 21.681923  6.8446808
 52 18.964117  6.8823472
 53 21.315502  6.8918434
 54 20.045946  6.8982271
 55 21.694467  6.9094494
 56 19.932255  6.9482024
 57 20.896122  7.0058049
 58 23.128425  7.0093046
 59 18.258117  7.0483691
 60 21.858273  7.0846108
 61 20.065412  7.1089108
 62 20.815688  7.1102836
 63 18.245521  7.1304308
 64 20.937673  7.2070852
 65 22.406522  7.2276006
 66 22.645865  7.2380977
 67 20.201503  7.3923707
 68 21.645267  7.4618735
 69 21.006446  7.4734918
 70 21.721227  7.5047258
 71 22.005286  7.5089786
 72 23.692928  7.5676808
 73 20.274375  7.5833056
 74 21.350938  7.6139526
 75 22.259635  7.6144797
 76 20.879350  7.6846434
 77 19.245681  7.6978058
 78 17.086323  7.7013657
 79 19.363600  7.7220233
 80 19.377463  7.7601131
 81 18.881269  7.8146940
 82 21.136331  7.8154785
 83 20.653494  7.8667263
 84 22.422466  7.8741183
 85 20.860710  7.9766964
 86 19.540712  8.0879833
 87 23.187950  8.1198211
 88 19.513631  8.2229390
 89 20.981989  8.2590359
 90 23.709151  8.2639295
 91 21.477561  8.2722475
 92 22.091974  8.2815195
 93 20.857345  8.3599636
 94 21.240900  8.3658785
 95 18.810629  8.4121397
 96 21.502811  8.4647561
 97 22.308352  8.4663674
 98 18.100189  8.4707907
 99 21.511703  8.5132473
100 23.665745  8.5221947
101 20.532004  8.5311739
102 19.965624  8.7081062
103 22.902833  8.7109998
104 23.085924  8.7179540
105 22.013738  8.7285426
106 20.525827  8.7390257
107 20.410585  8.7398533
108 20.639000  8.7840344
109 19.894221  8.8345922
110 20.626322  8.8566486
111 22.528749  8.9194465
112 22.282145  8.9794551
113 19.587618  9.1507040
114 21.236594  9.1640559
115 19.138225  9.1940170
116 21.434762  9.2152628
117 24.444344  9.2285195
118 21.613682  9.2496598
119 22.947645  9.3400205
120 25.357263  9.4771140
121 15.008280  9.4779666
122 17.209138  9.6178759
123 17.314091  9.8109607
124 19.389310  9.8372407
125 19.847490  9.8381522
126 21.727589  9.8669233
127 21.904781  9.8747838
128 22.393981  9.9259116
129 23.786748 10.3358629
130 25.373858 10.4360897
131  1.089503  0.6906896
132  1.628407  0.8419167
133  1.803213  1.1026353
134  1.833969  1.1983334
135  1.954742  1.3710601
136  2.003514  1.5043956
137  2.013795  1.5506922
138  2.280464  1.7017617
139  2.361897  1.8327808
140  2.516175  2.3260849
141  2.590713  3.6592067
142  2.753276  3.8629278
143  2.853585  4.6555997
144  2.901918  4.9219688
145  3.002795  2.9731101
146  3.216518  3.7085695
147  3.230786  4.5565022
148  3.295684  2.3073794
149  3.374043  3.4776790
150  3.433979  2.2354657
151  3.470845  4.4841148
152  3.598581  2.9046678
153  3.608949  4.9263550
154  3.611686  2.9027507
155  3.654628  4.0562714
156  3.709038  2.7985118
157  3.800483  3.8953477
158  3.960603  2.6744609
159  4.097114  4.9146066
160  4.108135  3.4116039
161  4.898386  3.6011276
162  5.495001  4.4116509
163  5.495134  3.6809649
164  5.696907  3.8146816
165  5.813536  4.3847043
166  5.840187  4.9354535
167  6.099768  3.6515706
168  6.124310  2.0145945
169  6.273696  4.2721761
170  6.276526  3.3220803
171  6.281290  3.8641541
172  6.322693  4.1510288
173  6.328174  3.1670826
174  6.328708  2.4448460
175  6.340194  4.1546843
176  6.374737  3.0952383
177  6.394544  3.8278461
178  6.711217  5.5319181
179  6.785658  4.9334819
180  7.015619  3.8898117
181  7.104376  5.3362096
182  7.154534  1.2629350
183  7.180402  3.2937802
184  7.185291  4.6928877
185  7.260325  3.9990651
186  7.287393  4.3768266
187  7.291816  2.3750646
188  7.325579  1.8300863
189  7.330284  3.1688522
190  7.348690  2.1978194
191  7.353945  2.7582142
192  7.413418  3.5700345
193  7.487304  3.5233260
194  7.537773  2.2760664
195  7.561347  4.2050523
196  7.566738  2.8524774
197  7.575390  3.7597329
198  7.598361  3.9346471
199  7.657564  3.5629619
200  7.740382  1.8706661
201  7.752467  4.3039680
202  7.782325  2.8411288
203  7.812766  5.1281245
204  7.865624  3.8443654
205  7.933646  3.5420211
206  8.060023  3.7398167
207  8.067970  4.5083903
208  8.081106  5.7242082
209  8.137737  2.3018472
210  8.150055  5.4183509
211  8.181868  2.9931558
212  8.250359  0.3948610
213  8.264422  4.3994183
214  8.274143  2.6920342
215  8.303575  2.4299368
216  8.319330  3.0141241
217  8.329871  5.2409480
218  8.370557  3.8694286
219  8.524661  4.8111224
220  8.554579  4.3178065
221  8.557142  2.9916395
222  8.619059  4.9201713
223  8.627421  3.3734255
224  8.662608  3.6950505
225  8.687672  4.6916676
226  8.699905  2.7101970
227  9.103511  3.5100920
228 10.299300  3.0521276
229 10.399847  4.3980973
230 10.787152  2.9792465
231 13.102676  2.7519596
232 13.891668  4.8704026
233 13.445508  2.5432547
234 14.355149  3.7865766
235 14.721984  4.6684822
236 14.505038  2.8421803
237 15.315235  2.9367694
238 13.420824  4.7704291
239 15.730314  1.9250670
240 14.892630  2.2794717
241 13.216765  2.4852691
242 13.966927  2.8131457
243 14.931311  4.0115309
244 16.906073  4.0608095
245 16.101308  3.6628362
246 16.613323  5.0527364
247 17.414910  3.2531701
248 18.600490  4.2444825
249 16.869141  3.1214815
250 14.069019  4.5541382
251 17.265440  5.6207017
252 18.728712  6.3408053
253 20.095983  7.2169191
254 20.719298  5.3972786
255 21.104961  6.9402863
256 21.132092  5.8250457
257 21.296975  6.4393012
258 22.107486  6.4688022
259 22.464232  6.1632566
260 24.492731  7.1080213
